,Locality,Type of property,Subtype of property,Price,Number of bedrooms,Livable surface,Kitchen equipment,Number of bathrooms,Number of toilets,Floor of appartment,Number of floors,Balcony,State of the property,Build Year,Surface bedroom 1,Furnished,Surface of living-room,Cellar,Surface kitchen,Entry phone,Elevator,Number of showers,Number of facades,Terrace,Surface terrace,Surface bedroom 2,Security door,Access for disabled,Sewer Connection,Garden,Surface garden,Surface bedroom 3,Garage
0,1000 Brussels,flat,apartment,333500,2,100.0,Super equipped,1,1,1,4,0,Normal,,13.568253840466749,0,29.289579041728047,0,10.894768364049595,1,0,1,2,0,0,10.983073043101928,0,0,1,0,318.3056755991269,8.9171609127769,0
1,1000 Brussels,flat,apartment,379000,1,80.0,Super equipped,1,1,3,3,0,Normal,1997,21.0,0,25.0,1,22.0,1,1,1,2,0,0,8.786458434481544,0,0,1,0,254.64454047930155,7.13372873022152,0
2,1000 Brussels,flat,apartment,295000,2,80.0,Partially equipped,1,1,,3,0,Normal,,10.854603072373399,0,28.0,0,8.715814691239675,1,0,1,2,1,4.0,8.786458434481544,0,0,1,0,254.64454047930155,7.13372873022152,0
3,1000 Brussels,flat,loft,635000,2,217.0,Super equipped,1,3,4,4,0,Fully renovated,1900,25.0,0,63.55838652054987,0,23.641647349987622,1,1,1,2,1,40.0,21.0,1,1,1,0,690.7233160501054,19.350239180725872,0
4,1000 Brussels,flat,loft,595000,2,207.0,Partially equipped,2,2,3,4,0,Fully renovated,1900,16.0,0,60.62942861637706,0,22.552170513582663,1,1,2,2,1,10.0,16.0,0,1,1,0,658.8927484901927,18.458523089448185,0
5,1000 Brussels,flat,duplex,615000,2,170.0,Super equipped,1,2,,5,0,Normal,1890,23.066031528793474,0,49.79228437093768,0,18.521106218884313,1,0,1,3,1,40.0,18.67122417327328,0,0,1,0,541.1196485185158,15.15917355172073,0
6,1000 Brussels,flat,duplex,615000,1,170.0,Super equipped,1,2,,5,0,Normal,1890,23.066031528793474,0,49.79228437093768,0,18.521106218884313,1,0,1,3,1,40.0,18.67122417327328,0,0,1,0,541.1196485185158,15.15917355172073,0
7,1000 Brussels,flat,apartment,515000,3,130.0,Partially equipped,2,1,1,7,0,Normal,2022,17.638729992606773,0,38.07645275424646,0,14.163198873264474,1,0,1,2,1,15.0,14.277994956032508,0,0,1,0,413.797378278865,11.59230918660997,0
8,1000 Brussels,flat,apartment,550000,3,130.0,Partially equipped,2,1,4,7,0,Normal,2022,17.638729992606773,0,38.07645275424646,0,14.163198873264474,1,0,1,2,1,14.0,14.277994956032508,0,0,1,0,413.797378278865,11.59230918660997,0
9,1000 Brussels,flat,apartment,355000,1,82.0,Fully equipped,1,1,,,0,Normal,2013,11.125968149182734,0,24.017454814217,0,8.933710058520669,1,0,1,2,1,5.0,9.006119895343582,0,0,1,0,261.0106539912841,7.312071948477058,0
10,1000 Brussels,flat,apartment,375000,1,73.0,Fully equipped,1,1,,,0,Normal,2013,9.904825303540726,0,21.381392700461475,0,7.953180905756205,1,0,1,2,1,26.0,8.017643321464409,0,0,1,0,232.36314318736265,6.509527466327137,0
11,1000 Brussels,flat,apartment,395000,2,107.0,Fully equipped,2,1,,,0,Normal,2013,14.51803160929942,0,31.339849574649012,0,11.657402149533066,1,0,1,2,0,0,11.751888156119064,0,0,1,0,340.5870728910658,9.541362176671283,0
12,1000 Brussels,flat,apartment,455000,2,107.0,Fully equipped,1,1,,,0,Normal,2013,14.51803160929942,0,31.339849574649012,0,11.657402149533066,1,0,1,2,1,12.0,11.751888156119064,0,0,1,0,340.5870728910658,9.541362176671283,0
13,1000 Brussels,flat,apartment,470000,2,105.0,Fully equipped,1,1,,,0,Normal,2013,14.246666532490085,0,30.75405799381445,0,11.439506782252074,1,0,1,2,1,20.0,11.532226695257025,0,0,1,0,334.2209593790833,9.363018958415745,0
14,1000 Brussels,flat,apartment,229000,2,80.0,Partially equipped,1,1,5,6,0,Excellent,2008,13.0,0,26.0,0,13.0,1,1,1,2,1,3.0,9.0,0,1,1,0,254.64454047930155,7.13372873022152,0
15,1000 Brussels,flat,apartment,199000,1,56.0,Partially equipped,1,1,1,4,0,Excellent,2010,14.0,0,25.0,1,6.101070283867774,1,1,1,2,0,0,6.15052090413708,0,1,1,0,178.25117833551107,4.993610111155064,0
16,1000 Brussels,flat,apartment,749000,2,150.0,Partially equipped,1,2,1,7,0,Excellent,,22.0,0,43.93436856259207,0,16.34215254607439,1,1,1,2,1,4.0,11.0,0,0,1,0,477.4585133986904,13.37574136916535,0
17,1000 Brussels,flat,duplex,439000,4,205.0,Partially equipped,2,2,2,3,0,Excellent,,27.814920372956834,0,60.043637035542496,0,22.33427514630167,1,0,1,2,0,0,22.515299738358955,0,0,1,0,652.5266349782102,18.280179871192644,0
18,1000 Brussels,flat,studio,180000,,40.0,Partially equipped,1,1,,,0,Normal,,5.427301536186699,1,15.0,0,4.357907345619838,1,1,1,2,1,4.0,4.393229217240772,0,0,1,0,127.32227023965078,3.56686436511076,0
19,1000 Brussels,house,residence,348000,2,173.0,Partially equipped,1,1,,,0,Normal,,23.473079144007475,0,50.67097174218952,0,18.8479492698058,0,0,1,2,0,0,19.000716364566337,0,0,1,0,550.6688187864896,15.426688379104037,0
20,1000 Brussels,flat,apartment,310000,1,95.0,Super equipped,1,2,5,5,0,Normal,,18.0,0,65.0,0,10.350029945847115,1,0,2,2,0,0,10.433919390946834,0,0,1,0,302.3903918191706,8.471302867138055,0
21,1000 Brussels,flat,studio,165000,,37.0,Partially equipped,1,1,2,8,0,Normal,1968,5.020253920972697,0,24.0,0,5.0,1,1,1,2,0,0,4.063737025947714,0,0,1,0,117.77309997167696,3.299349537727453,0
22,1000 Brussels,flat,studio,165000,1,36.0,Partially equipped,1,1,,,0,Fully renovated,1970,4.88457138256803,0,10.544248455022098,0,3.922116611057854,1,0,1,2,0,0,3.9539062955166946,0,0,1,0,114.5900432156857,3.210177928599684,0
23,1000 Brussels,flat,apartment,399000,2,96.0,Super equipped,1,1,2,6,0,Normal,2019,17.0,0,40.0,1,10.0,1,1,1,4,1,9.0,10.0,1,1,1,0,305.5734485751618,8.560474476265824,0
24,1000 Brussels,flat,apartment,140000,1,45.0,Partially equipped,1,1,3,4,0,Excellent,,8.0,0,19.0,0,4.902645763822318,1,0,1,2,0,0,4.9423828693958685,0,0,1,0,143.2375540196071,4.012722410749605,0
25,1000 Brussels,flat,duplex,560000,1,177.0,Super equipped,1,1,,3,0,Normal,1920,18.0,0,60.0,1,16.0,1,0,1,2,1,25.0,19.440039286290414,0,1,1,1,125.0,15.783374815615113,0
26,1000 Brussels,flat,apartment,295000,3,110.0,Partially equipped,1,2,1,3,0,Excellent,1900,22.0,0,35.0,0,11.984245200454554,1,0,1,2,1,7.0,15.0,0,0,1,0,350.1362431590396,11.0,0
27,1000 Brussels,flat,apartment,289000,2,90.0,Super equipped,1,1,1,7,0,Normal,,12.0,0,27.0,1,18.0,1,1,1,2,0,0,10.0,1,1,1,0,286.4751080392142,8.02544482149921,0
28,1000 Brussels,house,residence,389000,3,155.0,Partially equipped,1,2,,,0,Excellent,1957,16.0,0,23.0,1,18.0,0,0,1,2,1,40.0,14.0,0,0,1,0,493.3737971786467,7.0,1
29,1000 Brussels,flat,apartment,149900,1,32.0,Fully equipped,1,1,,,0,Normal,,4.3418412289493595,0,9.372665293352975,0,3.4863258764958704,1,0,1,2,0,0,3.5145833737926173,0,0,1,0,101.85781619172062,2.853491492088608,0
30,1000 Brussels,flat,apartment,830000,3,216.0,Not equipped,2,1,7,7,0,To be renovated,1968,30.0,0,63.26549073013258,1,14.0,1,1,1,2,1,45.0,16.0,0,0,0,0,687.5402592941142,10.0,0
31,1000 Brussels,house,residence,699000,1,,Partially equipped,1,1,,,0,To be renovated,,,0,,0,,0,0,1,2,0,0,,0,0,1,0,,,0
32,1000 Brussels,flat,loft,645000,2,180.0,Partially equipped,2,1,,3,0,Normal,2001,15.0,0,52.721242275110484,1,19.610583055289272,1,1,1,2,1,25.0,12.0,1,0,1,0,572.9502160784284,16.05088964299842,1
33,1000 Brussels,flat,studio,165000,,40.0,Partially equipped,1,1,2,7,0,Excellent,1996,5.427301536186699,0,24.0,1,4.357907345619838,1,1,1,3,0,0,4.393229217240772,0,1,1,0,127.32227023965078,3.56686436511076,0
34,1000 Brussels,flat,penthouse,1249000,4,187.0,Partially equipped,2,2,3,4,0,New,2021,15.0,0,54.0,1,20.37321684077274,1,1,1,3,1,73.0,15.0,1,1,1,0,595.2316133703673,9.0,1
